"","genes","logFC","logCPM","PValue","FDR"
"Tmc8","Tmc8",1.92987078019153,4.57918136334906,0.00143475580607162,0.0924343575899677
"Xlr4b","Xlr4b",2.39881935761706,3.18420313225763,0.00145823788381559,0.0933879844760235
"Grap2","Grap2",2.57161743419832,6.92303208863145,0.00153188521708406,0.0975239825479731
"Ppm1j","Ppm1j",2.23227806825855,5.4544711578052,0.00155960907234197,0.0987049059372193
"Serpini1","Serpini1",2.21225539378434,1.81048726025404,0.00166240784002919,0.104595590355989
"Asrgl1","Asrgl1",1.82131133756978,3.04840602027636,0.00171357195253606,0.107187910682183
"Zbtb10","Zbtb10",-1.72318530179677,3.84563524611879,0.00176297877518782,0.109640974810669
"Xlr4a","Xlr4a",2.3657237532603,3.21249517701644,0.00180070050727552,0.11134331469987
"Hdgfl3","Hdgfl3",2.19365135906208,3.32550130793509,0.00183848243004044,0.113029899798887
"Asf1b","Asf1b",1.78482748055829,4.7032089202446,0.00189194080114251,0.115655631133479
"Mfng","Mfng",2.06178117891825,5.31688594387127,0.00195289337863458,0.118707230851579
"Itga4","Itga4",2.27346377086183,7.41187149782313,0.00198283153466592,0.119849912817251
"Spn","Spn",2.19661328585782,6.35035873098086,0.00211056701456401,0.126858047540191
"Clspn","Clspn",1.823733830971,4.1296994497701,0.00216784866467797,0.129518283094065
"Epsti1","Epsti1",2.27920876821695,7.30884498986068,0.00217890224370534,0.129518283094065
"Ipcef1","Ipcef1",2.05477483945269,4.86673150411778,0.00226738739888263,0.134037478157023
"Kbtbd11","Kbtbd11",1.89178620635108,6.50668856378304,0.00231992142725699,0.136393631889934
"Syne3","Syne3",1.99869056995256,4.01213329187465,0.0023485692005363,0.137327478416142
"Hrh2","Hrh2",2.08261928510925,3.07675875762682,0.00248918683144347,0.14476303307838
"Atp8b4","Atp8b4",2.17362354613483,5.69068435935972,0.0026827393030107,0.155180603016624
"C6","C6",-1.64749556924499,4.04240268436215,0.00274581745727922,0.157979946646348
"Prss16","Prss16",2.11333157143901,3.33757853505574,0.00280614998507379,0.160592381326643
"Rbm38","Rbm38",1.92058294086135,6.42578558981596,0.00288908925763737,0.163862244856506
"Atp8b2","Atp8b2",1.78256340943157,5.63414724978665,0.00289820732399755,0.163862244856506
"Abcb9","Abcb9",1.90717183722198,4.71192402173276,0.00290897748560206,0.163862244856506
"Pole","Pole",1.73504745379297,4.71990421515122,0.00299587812328036,0.167878399626945
"Pclaf","Pclaf",1.80455306864282,5.57419722510591,0.00310890256849277,0.173309236965874
"Ncald","Ncald",2.04022068836188,2.64162105977634,0.00316061112285505,0.174560604635518
"Rac2","Rac2",2.2050579678257,9.4586506560724,0.00316379941480862,0.174560604635518
"Pstpip1","Pstpip1",1.92653511374143,6.30639984007744,0.00319246193114874,0.175243356720558
"Hmgb2","Hmgb2",1.87455322786453,7.56466536968663,0.00337278245379206,0.18420186000177
"Lmtk3","Lmtk3",1.96816036567073,3.51024009061033,0.0034559586663882,0.187360870243362
"Tcf19","Tcf19",1.73488293507772,4.78125895966011,0.00346545340444548,0.187360870243362
"Tbxa2r","Tbxa2r",1.97212900987733,2.25798361330998,0.00355399304662434,0.191187055943156
"Spag5","Spag5",1.75646150704026,4.74729533301017,0.0036153010887053,0.193192183571078
"2610318N02Rik","2610318N02Rik",1.81125874495756,2.31333091250858,0.0036448679802664,0.193192183571078
"Panx1","Panx1",1.92744109997684,4.87048021591454,0.00365068284535293,0.193192183571078
"F5","F5",-1.79982364542622,2.31816391740055,0.00366309187178175,0.193192183571078
"Lgals1","Lgals1",2.06342014999239,9.0608003348998,0.00373634722925376,0.19604096827155
"Dgka","Dgka",2.00413361883533,6.98022198458068,0.00375354953656838,0.19604096827155
"Mns1","Mns1",1.91919533666407,2.40435331708684,0.00384371658225033,0.19978041888131
"H3c1","H3c1",2.02875491504757,2.30943154387721,0.00407532164196436,0.210799930509109
"Itgb3","Itgb3",1.92520140364447,4.8930375139053,0.00418054248812207,0.21520792645792
"Rab11fip4","Rab11fip4",2.11399901581735,2.60910594103267,0.00424276111433442,0.2173707944244
"Rinl","Rinl",2.02291130803997,5.99393093223705,0.00448346264861947,0.228614097803303
"Hic1","Hic1",1.77996762831591,2.44973967535852,0.00454308651641405,0.230561640708013
"Kdm2b","Kdm2b",1.94440755981388,6.14304978167082,0.00483540883710789,0.244244899898797
"Axin2","Axin2",2.04714620142777,2.89877368153797,0.00486566841131841,0.244624889894275
"Inpp1","Inpp1",1.81416855305758,4.00739500654955,0.00520143637055102,0.260289553073295
"Ubxn11","Ubxn11",1.85615270584422,3.59094449987999,0.00546291390329609,0.272108753173901
"Cd69","Cd69",2.109742171034,6.92767743824955,0.00550364841475807,0.272874439144618
"Traf1","Traf1",2.00574834781777,7.13352134712164,0.00562123586985684,0.277426040017384
"Slc26a10","Slc26a10",1.83568310443456,3.15716525524874,0.00566784858537795,0.278449237123659
"Cd37","Cd37",2.11289878301334,6.77023043424329,0.00571376180557325,0.279358467815555
