"","X67_S53","X68_S54"
"Tpd52l2",59.1157037157791,56.4999145310384
"Arhgap25",39.1647296636105,49.7199247873138
"Banf1",240.978277812568,203.502419429067
"Tbc1d23",7.04965133944988,8.26953294499743
"4930473A02Rik",0,0.0513635586645803
"Pard3",0.0460761525454241,0
"Rorc",0,0
"Krtap4-6",0,0
"1700017L05Rik",0,0
"1700123J17Rik",0,0
"Evi5l",19.0755271538056,23.7813276617007
"Pex5l",0,0
"Mtmr1",69.5749903435903,83.3630557126139
"Mtor",28.6132907307083,32.7185868693377
"Zfp758",3.27140683072511,5.13635586645803
"Plekhh2",0,0
"Adgrl3",0,0
"Golga5",57.5491145292347,60.8144534588631
"Plekhb1",0.0460761525454241,0.154090675993741
"Nufip1",45.2928579521519,45.4567494181536
"Gm9866",0,0
"Smap1",59.8529221565059,68.1080787892335
"Tepp",0,0.154090675993741
"Acox2",0,0
"Hars2",24.3282085439839,22.9595107230674
"Gpa33",0,0
"Sdhb",392.384515076831,382.144876464478
"Gmpr",0.0460761525454241,0.102727117329161
"Krt90",0,0
"Me1",24.6968177643473,24.0381454550236
"Klk11",0.0921523050908481,0.102727117329161
"Magt1",122.101804245374,139.195243981013
"Mcam",2.53418838999832,2.41408725723528
"Pbld1",0,0
"Tab2",46.4447617657875,53.2640103351698
"Mettl27",2.3038076272712,3.08181351987482
"Trmt1",30.8249460528887,24.0895090136882
"Vps37c",19.2598317639873,21.6240581977883
"Sec23a",22.4390862896215,33.2835860146481
"Rara",120.304834296102,119.266183219156
"Med1",31.8846975614335,38.9849410264165
"Ap5b1",18.9833748487147,24.5004174830048
"Bag5",39.118653511065,37.4440342664791
"Pdcd2l",37.1834551041572,32.6672233106731
"Ctcf",94.3178842604831,105.757567290371
"Mnd1",3.04102606799799,2.3627236985707
"Tktl1",0,0.256817793322902
"Lix1",0,0
"Ctnnbl1",111.458213007381,100.36439363059
"Snph",0.23038076272712,0.256817793322902
"Raet1e",0,0
"Ppm1m",35.3864851548857,38.7281232330936
"Prkar1a",1286.3079506106,1336.99343203903
"Slc27a3",0.0460761525454241,0.359544910652062
"Impdh2",88.2358321244871,81.0003320140432
"Tiprl",109.799471515746,114.900280732666
"Uaca",0,0.0513635586645803
"Smim31",0,0
"Calca",0.921523050908481,0.256817793322902
"Mir6402",0,0
"Phf3",29.3044330188897,33.9513122772876
"F930015N05Rik",0,0
"9330020H09Rik",2.44203608490748,2.15726946391237
"Gm13884",0,0.0513635586645803
"Gm7443",0,0.154090675993741
"Ube2q2",41.6989180536088,50.4903781672825
"Rfx3",5.29875754272377,3.90363045850811
"Bri3",2.81064530527087,2.6195414918936
"Fbxo27",2.07342686454408,4.57135672114765
"Eps15l1",32.7140683072511,34.1054029532813
"Tmprss15",0,0
"Max",15.2972826450808,17.3608828286282
"Ttc8",2.85672145781629,2.92772284388108
"Vti1b",138.136305331181,135.548431315828
"Cpsf3",100.399936396479,101.494391921211
"Nlgn1",0,0
"Casq2",0,0
"Pidd1",12.6709419499916,12.5840718728222
"Asb4",0.691142288181361,0
"Orc4",34.9717997819769,43.9158426582162
"Mapkbp1",1.93519840690781,4.98226519046429
"Mospd1",14.5139880518086,17.3608828286282
"Banf2",0,0
"Dclk1",0,0
"Gpcpd1",22.7155432048941,38.5740325570998
"Sinhcaf",9.49168742435736,12.5327083141576
"Acbd5",20.2274309674412,22.0863302257695
"Mir7073",0,0.0513635586645803
"Myo7a",2.02735071199866,2.41408725723528
"4930548K13Rik",0,0
"Luc7l2",35.8472466803399,34.7731292159209
"Dnah8",12.6248657974462,14.073615074095
"Evc",0,1.95181522925405
"Shroom2",0,0
"1500009C09Rik",0,0
"Kmt2e",176.51774040152,181.981088348608
"Setd5",72.3395594963158,63.7935398614088
"Pcyox1",24.558589306711,32.8726775453314
"Arpp21",0,0
"Iyd",0,0
"Mir7077",0,0
"Smim4",14.3757595941723,12.4299811968284
"Smc6",85.4712629717616,107.812109636954
"Nsmf",28.1986053577995,35.6976732718833
"Hmbs",97.6353672437536,90.9648623949718
"Slc35b1",141.315559856816,105.398022379719
"Mir7081",0,0
"Synj2",15.8962726281713,14.1249786327596
"Suds3",129.658293262823,119.009365425833
"Ptk2b",246.277035355292,251.065074752469
"Gfm2",32.161154476706,44.7890231555141
"Rlim",45.3850102572427,45.3540223008244
"Ddt",67.5937157841371,76.4803388515601
"Epha3",0,0
"Gatad2a",346.815200209407,332.579042353158
"Shc1",71.0494272250439,93.1221318588842
"Anks1b",0,0
"Cdk6",198.26568440296,190.764256880251
"Cdk5r2",0,0
"Cdk5r1",0.506837677999665,0.256817793322902
"Kdm1a",113.209106804107,140.992968534273
"Olfr192",0,0
"Scaf4",30.5024129850707,42.5803901329371
"4930557J02Rik",0,0
"6030466F02Rik",0,0
"Plcxd2",5.98989983090513,7.75589735835163
