"","X67_S53","X68_S54"
"H2ac6",11.7319156378492,16.6641525030877
"H2ac7",1.119607445029,1.92013303418992
"H2ac8",39.2225312886674,46.4849410853281
"Zfp286",0.498484691280904,0.991226570719972
"Eci2",45.1031157835952,44.2173244155953
"Uqcc2",186.545099628937,166.578644802254
"Snhg18",0,0
"C430049B03Rik",0.169341021717228,0.0686449163576082
"3110009E18Rik",1.94628376224932,3.11294294936851
"Fn1",0.00546897953061413,0
"Kctd17",10.2982376623036,11.6686363597919
"Whrn",0.219609442454359,0.209837507027337
"Hrh1",0,0
"Fgg",0,0
"Igsf9b",0.0566150427540997,0.100978919780461
"Uty",1.29037805756855,1.99622136932261
"Mir6991",0,0
"Reg3d",0,0
"Marchf2",37.0258946450495,39.7076830220886
"Lmf1",19.881327508853,23.4599811203081
"2310039L15Rik",0,0.160011086182493
"Gm4489",0,0
"Lce1f",0,0
"AA543186",0.353178056067519,0.151425585685673
"A230072C01Rik",0.962972747428218,1.70356191845269
"Gh",0,0
"Emp3",368.324799668668,369.320896611885
"Emp1",15.7167178249165,13.9959795441897
"Eif4ebp2",15.4533120799043,15.9324812431005
"Eif3a",54.6041575953692,54.5688193772271
"Rfxank",3.60400106819178,4.29657144722725
"Capn3",0.0264198122393487,0.23561265442468
"Efna4",0.0577395395306066,0.0321826808675315
"Zp1",0,0
"Ikzf1",11.8362997799421,12.0065945748419
"Hira",4.15732327180199,4.2378051931509
"Uhmk1",6.33554200125143,7.93034596720367
"Chrne",0.144802490714721,0.225986744595891
"Ccl1",427.915159283245,349.679038987777
"Bcl2a1c",0.518875591727748,0.231367381371984
"Nr1h4",0,0
"Mir6992",1.26815098748874,4.24102777964425
"Gpn2",31.3630448373351,28.2954117422135
"B4galt7",22.2167187708153,23.8058928419316
"Spin1",6.05612002859485,8.41118392266345
"Rnf144b",0.0785277418754564,0.0328271572206521
"Bag6",21.9714986674939,23.196829387638
"Cdca7l",11.505802933595,12.9244956118841
"Pyy",0,0
"Lsm2",43.843387444104,35.8866097101429
"Dhrs7b",31.921278881027,32.6298207698503
"Ankmy2",6.51772231427503,9.11356682764835
"Plekhh3",1.40804887492518,1.28575878321609
"Ambp",0,0
"Fdft1",33.1394345735144,31.8851412321374
"Cldn3",0,0
"Stk32a",0,0
"H4c8",5.71979824701816,9.0919402693625
"Rgs13",0,0
"Cdnf",0.122339601846463,0.221615088828259
"Dgkd",5.28411092591533,6.13403932067345
