"","X67_S53","X68_S54"
"Mtmr1",26.3879380867863,32.8773486547055
"Mtor",5.979789854549,7.11022775759255
"Zfp758",1.97586645170071,3.22588586042446
"Plekhh2",0,0
"Adgrl3",0,0
"Golga5",35.6209282931151,39.142112012062
"Plekhb1",0.0347600832136923,0.120879267730815
"Nufip1",20.4722632721592,21.3651216048782
"Gm9866",0,0
"Smap1",35.353542194413,41.8328126006068
"Tepp",0,0.325213035556012
"Acox2",0,0
"Hars2",13.3636893864193,13.1144394292335
"Gpa33",0,0
"Sdhb",653.212385774255,661.517674178253
"Gmpr",0.0522498473054302,0.121133643294222
"Krt90",0,0
"Me1",12.4018379532137,12.5521139750805
"Klk11",0.114235691003177,0.13241938645828
"Magt1",49.5535379686565,58.7418800893027
"Mcam",1.57399954953288,1.55915585684098
"Pbld1",0,0
"Tab2",16.8878275702137,20.1391793060966
"Mettl27",1.42745357246984,1.98560563274971
"Trmt1",19.7746264964911,16.0695891194114
"Vps37c",12.1216716535014,14.1520087424243
"Sec23a",9.81157502682261,15.1333310313747
"Rara",49.8032202079128,51.340787560616
"Med1",7.54678094969121,9.59504871869402
"Ap5b1",10.8525360758441,14.5647206550809
"Bag5",28.0504713189219,27.919636471656
"Pdcd2l",51.1411583555618,46.7201146485597
"Ctcf",44.315305491969,51.6704221454092
"Mnd1",6.24989477883169,5.04936028889598
"Tktl1",0,0.194127570799319
"Lix1",0,0
"Ctnnbl1",73.3085063789189,68.6424570067931
"Snph",0.0871197454018962,0.10098720577792
"Raet1e",0,0
"Ppm1m",30.7065537416539,34.94547608634
"Prkar1a",569.373049720429,615.392340581391
"Slc27a3",0.0360155605447352,0.292238867895198
"Impdh2",92.7942604346603,88.579614950931
"Tiprl",41.5300138193478,45.1911897997359
"Uaca",0,0.0208787476581118
"Smim31",0,0
"Calca",1.09403513723465,0.317045094147467
"Mir6402",0,0
"Phf3",6.96174450096888,8.38710697900339
"F930015N05Rik",0,0
"9330020H09Rik",1.27960302829215,1.1754345129927
"Gm13884",0,0.0903369543211145
"Gm7443",0,0.313181214871676
"Ube2q2",22.9758285611289,28.9284975815062
"Rfx3",1.00963532249466,0.77344608647139
"Bri3",4.42083121369517,4.28443968471121
"Fbxo27",1.75512210929833,4.02378334049156
"Eps15l1",12.4496331088091,13.4963409755745
"Tmprss15",0,0
"Max",11.6876085494505,13.7928506062484
"Ttc8",2.22328986315931,2.36934887039616
"Vti1b",193.696914035239,197.642446717825
"Cpsf3",63.7927941171543,67.0580766488541
"Nlgn1",0,0
"Casq2",0,0
"Pidd1",6.70201221620889,6.92131099670518
"Asb4",0.35735646861745,0
"Orc4",12.1504240661581,15.8659299599836
"Mapkbp1",0.499795519990749,1.33802602623081
"Mospd1",11.0002463339736,13.6822750106709
"Banf2",0,0
"Dclk1",0,0
"Gpcpd1",8.04149246333821,14.1997087036375
"Sinhcaf",5.85083533807519,8.03323071356271
"Acbd5",9.45686877143697,10.7374475690474
"Mir7073",0,1.49902883576599
"Myo7a",0.478780615014365,0.592831808833041
"4930548K13Rik",0,0
"Luc7l2",6.9229334293669,6.98311164348661
"Dnah8",1.55504832531808,1.80257626441696
"Evc",0,0.845463387890282
"Shroom2",0,0
"1500009C09Rik",0,0
"Kmt2e",43.8726937045705,47.0330408976907
"Setd5",19.8835654578314,18.2333288595818
"Pcyox1",10.280373592228,14.3090704061932
"Arpp21",0,0
"Iyd",0,0
"Mir7077",0,0
"Smim4",19.0570424628207,17.1342867958256
"Smc6",25.6134086310463,33.5958521323758
"Nsmf",17.2342361267991,22.6869011959413
"Hmbs",99.8158244059688,96.7022904729999
"Slc35b1",186.781785276111,144.859793188724
"Mir7081",0,0
"Synj2",3.77841690558045,3.49118797267189
"Suds3",96.1590484652722,91.7786903377653
"Ptk2b",108.212399025068,114.71237493893
"Gfm2",10.7798289188277,15.6107111898542
"Rlim",10.9572986236323,11.3861717159688
"Ddt",199.366885351975,234.567244553623
"Epha3",0,0
"Gatad2a",112.937419771224,112.617394768207
"Shc1",34.3715903687686,46.8449539110153
"Anks1b",0,0
